r	168	331	10	10	0	0	60s	100	1	6003
r	164	333	10	10	0	0	60s	100	1	6003
r	160	336	10	10	0	0	60s	100	1	6003
r	151	337	10	10	0	0	60s	100	1	6003
r	148	339	10	10	0	0	60s	100	1	6003
r	155	342	10	10	0	0	60s	100	1	6003
r	143	346	10	10	0	0	60s	100	1	6003
r	168	346	10	10	0	0	60s	100	1	6003
r	159	353	10	10	0	0	60s	100	1	6003
r	141	354	10	10	0	0	60s	100	1	6003
r	151	354	10	10	0	0	60s	100	1	6003
r	157	355	10	10	0	0	60s	100	1	6003
r	154	356	10	10	0	0	60s	100	1	6003
r	166	389	10	10	0	0	60s	100	1	6003
r	206	331	10	10	0	0	60s	100	1	6001
r	217	334	10	10	0	0	60s	100	1	6001
r	209	344	10	10	0	0	60s	100	1	6001
r	217	350	10	10	0	0	60s	100	1	6001
r	227	350	10	10	0	0	60s	100	1	6001
r	205	351	10	10	0	0	60s	100	1	6001
r	206	352	10	10	0	0	60s	100	1	6001
r	217	353	10	10	0	0	60s	100	1	6001
r	215	355	10	10	0	0	60s	100	1	6001
r	218	356	10	10	0	0	60s	100	1	6001
r	208	360	10	10	0	0	60s	100	1	6001
r	217	360	10	10	0	0	60s	100	1	6001
r	188	320	10	10	0	0	60s	100	1	6002
r	192	324	10	10	0	0	60s	100	1	6002
r	187	326	10	10	0	0	60s	100	1	6002
r	185	327	10	10	0	0	60s	100	1	6002
r	176	328	10	10	0	0	60s	100	1	6002
r	195	328	10	10	0	0	60s	100	1	6002
r	203	329	10	10	0	0	60s	100	1	6002
r	180	334	10	10	0	0	60s	100	1	6002
r	193	334	10	10	0	0	60s	100	1	6002
r	170	335	10	10	0	0	60s	100	1	6002
r	187	335	10	10	0	0	60s	100	1	6002
r	201	341	10	10	0	0	60s	100	1	6002
r	172	358	10	10	0	0	60s	100	1	6002
r	198	358	10	10	0	0	60s	100	1	6002
r	183	359	10	10	0	0	60s	100	1	6002
r	183	385	10	10	0	0	60s	100	1	6002
